UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;Ipanema;1815;42742;80783;415618,22;228,99;202103;FALSO;2021-03-01 00:00:00
MG;Pocrane;213;5044;13679;64652,7;303,53;202103;FALSO;2021-03-01 00:00:00
MG;Taparuba;107;3066;6486;34213,82;319,76;202103;FALSO;2021-03-01 00:00:00
MG;Conceição de Ipanema;124;4172;8636;47041,33;379,37;202103;FALSO;2021-03-01 00:00:00
MG;Santana do Manhuaçu;255;6862;15697;82612,21;323,97;202103;FALSO;2021-03-01 00:00:00
MG;Simonésia;300;7882;15868;81240,91;270,8;202103;FALSO;2021-03-01 00:00:00
MG;Manhuaçu;355;9235;19237;95968,73;270,33;202103;FALSO;2021-03-01 00:00:00
MG;São José do Mantimento;110;3730;8204;46171,39;419,74;202103;FALSO;2021-03-01 00:00:00
MG;Reduto;13;172;880;3126,42;240,49;202103;FALSO;2021-03-01 00:00:00
MG;Aimorés;102;2899;6604;32829,91;321,86;202103;FALSO;2021-03-01 00:00:00
MG;Expedicionário Alício;48;1542;3682;24305,5;506,36;202103;FALSO;2021-03-01 00:00:00
MG;Conceição do Capim;22;537;1525;6954,24;316,1;202103;FALSO;2021-03-01 00:00:00
MG;Resplendor;27;535;1477;6532,73;241,95;202103;FALSO;2021-03-01 00:00:00
MG;Itueta;23;588;1166;5877,62;255,55;202103;FALSO;2021-03-01 00:00:00
MG;Quatituba;26;457;1453;8180,43;314,63;202103;FALSO;2021-03-01 00:00:00
ES;Baixo Guandu;35;771;1773;8696,56;248,47;202103;FALSO;2021-03-01 00:00:00
MG;Caratinga;7;137;457;2336,74;333,82;202103;FALSO;2021-03-01 00:00:00
MG;Piedade de Caratinga;3;72;201;1234,65;411,55;202103;FALSO;2021-03-01 00:00:00
MG;SÃO JOÃO DO JACUTINGA;1;44;72;321,97;321,97;202103;FALSO;2021-03-01 00:00:00
MG;SANTO ANTÔNIO DO MANHUAÇU;46;1041;3183;14603,04;317,46;202103;FALSO;2021-03-01 00:00:00
MG;Penha do Capim;15;460;903;4851,14;323,41;202103;FALSO;2021-03-01 00:00:00
MG;Santa Rita de Minas;2;28;98;334,11;167,06;202103;FALSO;2021-03-01 00:00:00
