cod_IBGE;cidade;UF;latitude;longitude;venda_predita
310010;ABADIA DOS DOURADOS;MG;-18,4831;-47,3916;5603,01
310020;ABAETÉ;MG;-19,1551;-45,4444;5083,71
310030;ABRE CAMPO;MG;-20,2996;-42,4743;17719,78
310040;ACAIACA;MG;-20,359;-43,1439;49978,98
310050;AÇUCENA;MG;-19,0671;-42,5419;26793,71
310060;ÁGUA BOA;MG;-17,9914;-42,3806;1178,51
310070;ÁGUA COMPRIDA;MG;-20,0576;-48,1069;2264,49
310080;AGUANIL;MG;-20,9439;-45,3915;6325,34
310090;ÁGUAS FORMOSAS;MG;-17,0802;-40,9384;9224,2
310100;ÁGUAS VERMELHAS;MG;-15,7431;-41,4571;2278,64
310110;AIMORÉS;MG;-19,5007;-41,0746;20467,03
310120;AIURUOCA;MG;-21,9736;-44,6042;70975,72
310130;ALAGOA;MG;-22,171;-44,6413;4056,36
310140;ALBERTINA;MG;-22,2018;-46,6139;5752,06
310150;ALÉM PARAÍBA;MG;-21,8797;-42,7176;8866,83
310160;ALFENAS;MG;-21,4256;-45,9477;5467,66
310163;ALFREDO VASCONCELOS;MG;-21,1535;-43,7718;2844,96
310170;ALMENARA;MG;-16,1785;-40,6942;12811,51
310180;ALPERCATA;MG;-18,974;-41,97;2352,84
310190;ALPINÓPOLIS;MG;-20,8631;-46,3878;2988,4
310200;ALTEROSA;MG;-21,2488;-46,1387;5045,44
310205;ALTO CAPARAÓ;MG;-20,431;-41,8738;5934,65
310210;ALTO RIO DOCE;MG;-21,0281;-43,4067;24187,63
310220;ALVARENGA;MG;-19,4174;-41,7317;50220,03
310230;ALVINÓPOLIS;MG;-20,1098;-43,0535;39482,55
310240;ALVORADA DE MINAS;MG;-18,7334;-43,3638;4657,55
310250;AMPARO DO SERRA;MG;-20,5051;-42,8009;33720,44
310260;ANDRADAS;MG;-22,0695;-46,5724;6075,09
310270;CACHOEIRA DE PAJEÚ;MG;-15,9688;-41,4948;9913,85
310280;ANDRELÂNDIA;MG;-21,7411;-44,3117;11598,45
310285;ANGELÂNDIA;MG;-17,7279;-42,2641;1802,28
310290;ANTÔNIO CARLOS;MG;-21,321;-43,7451;3096,37
310300;ANTÔNIO DIAS;MG;-19,6491;-42,8732;2114,97
310310;ANTÔNIO PRADO DE MINAS;MG;-21,0192;-42,1109;104072,05
310320;ARAÇAÍ;MG;-19,1955;-44,2493;2537,37
310330;ARACITABA;MG;-21,3446;-43,3736;84323,43
310340;ARAÇUAÍ;MG;-16,8523;-42,0637;23764,85
310350;ARAGUARI;MG;-18,6456;-48,1934;4362,37
310360;ARANTINA;MG;-21,9102;-44,2555;122580,43
310370;ARAPONGA;MG;-20,6686;-42,5178;1311,13
310375;ARAPORÃ;MG;-18,4357;-49,1847;5453,71
310380;ARAPUÁ;MG;-19,0268;-46,1484;114195,05
310390;ARAÚJOS;MG;-19,9405;-45,1671;752,28
310400;ARAXÁ;MG;-19,5902;-46,9438;6219,7
310410;ARCEBURGO;MG;-21,359;-46,9401;1683,63
310420;ARCOS;MG;-20,2863;-45,5373;6175,9
310430;AREADO;MG;-21,3572;-46,1421;4468,12
310440;ARGIRITA;MG;-21,6083;-42,8292;87527,77
310445;ARICANDUVA;MG;-17,8666;-42,5533;7793,23
310450;ARINOS;MG;-15,9187;-46,1043;21879,21
310460;ASTOLFO DUTRA;MG;-21,3184;-42,8572;754,14
310470;ATALÉIA;MG;-18,0438;-41,1149;13375,54
310480;AUGUSTO DE LIMA;MG;-18,0997;-44,2655;5404,1
310490;BAEPENDI;MG;-21,957;-44,8874;4591,01
310500;BALDIM;MG;-19,2832;-43,9613;64289,56
310510;BAMBUÍ;MG;-20,0166;-45,9754;109141,31
310520;BANDEIRA;MG;-15,8783;-40,5622;23444,49
310530;BANDEIRA DO SUL;MG;-21,7308;-46,3833;6546,73
310540;BARÃO DE COCAIS;MG;-19,9389;-43,4755;5193,54
310550;BARÃO DE MONTE ALTO;MG;-21,2444;-42,2372;67872,09
310560;BARBACENA;MG;-21,2214;-43,7703;13196,85
310570;BARRA LONGA;MG;-20,2869;-43,0402;49783,5
310590;BARROSO;MG;-21,1907;-43,972;4413,8
310600;BELA VISTA DE MINAS;MG;-19,8302;-43,0922;5379,61
310610;BELMIRO BRAGA;MG;-21,944;-43,4084;66185,02
310620;BELO HORIZONTE;MG;-19,9102;-43,9266;20367,22
310630;BELO ORIENTE;MG;-19,2199;-42,4828;2246,86
310640;BELO VALE;MG;-20,4077;-44,0275;27500,92
310650;BERILO;MG;-16,9567;-42,4606;21474,94
310660;BERTÓPOLIS;MG;-17,059;-40,58;3458,91
310665;BERIZAL;MG;-15,61;-41,7432;1851,72
310670;BETIM;MG;-19,9668;-44,2008;3660,15
310680;BIAS FORTES;MG;-21,602;-43,7574;52612,47
310690;BICAS;MG;-21,7232;-43,056;230620,03
310700;BIQUINHAS;MG;-18,7754;-45,4974;59679,21
310710;BOA ESPERANÇA;MG;-21,0927;-45,5612;4059,95
310720;BOCAINA DE MINAS;MG;-22,1697;-44,3972;6933,95
310730;BOCAIÚVA;MG;-17,1135;-43,8104;8768,7
310740;BOM DESPACHO;MG;-19,7386;-45,2622;4170,31
310750;BOM JARDIM DE MINAS;MG;-21,9479;-44,1885;67338,56
310760;BOM JESUS DA PENHA;MG;-21,0148;-46,5174;3754,17
310770;BOM JESUS DO AMPARO;MG;-19,7054;-43,4782;4897,26
310780;BOM JESUS DO GALHO;MG;-19,836;-42,3165;14813,2
310790;BOM REPOUSO;MG;-22,4675;-46,144;11617,31
310820;BONFINÓPOLIS DE MINAS;MG;-16,568;-45,9839;4051,33
310825;BONITO DE MINAS;MG;-15,3231;-44,7543;3870,14
310830;BORDA DA MATA;MG;-22,2707;-46,1653;82586,35
310840;BOTELHOS;MG;-21,6412;-46,391;4156,97
310850;BOTUMIRIM;MG;-16,8657;-43,0086;7325,4
310855;BRASILÂNDIA DE MINAS;MG;-16,9999;-46,0081;2230,4
310860;BRASÍLIA DE MINAS;MG;-16,2104;-44,4299;1341,89
310870;BRÁS PIRES;MG;-20,8419;-43,2406;68159,65
310880;BRAÚNAS;MG;-19,0562;-42,7099;25675,57
310900;BRUMADINHO;MG;-20,151;-44,2007;12989,23
310910;BUENO BRANDÃO;MG;-22,4383;-46,3491;5375,97
310920;BUENÓPOLIS;MG;-17,8744;-44,1775;4769,11
310925;BUGRE;MG;-19,4231;-42,2552;40571,69
310940;BURITIZEIRO;MG;-17,3656;-44,9606;1860,53
310945;CABECEIRA GRANDE;MG;-16,0335;-47,0862;7522,63
310950;CABO VERDE;MG;-21,4699;-46,3919;744,43
310960;CACHOEIRA DA PRATA;MG;-19,521;-44,4544;169345,48
310970;CACHOEIRA DE MINAS;MG;-22,3511;-45,7809;3103,94
310980;CACHOEIRA DOURADA;MG;-18,5161;-49,5039;4656,53
310990;CAETANÓPOLIS;MG;-19,2971;-44,4189;2414,97
311000;CAETÉ;MG;-19,8826;-43,6704;6059,11
311010;CAIANA;MG;-20,6956;-41,9292;2767,64
311020;CAJURI;MG;-20,7903;-42,7925;19276,35
311030;CALDAS;MG;-21,9183;-46,3843;83399,75
311040;CAMACHO;MG;-20,6294;-45,1593;4153,36
311050;CAMANDUCAIA;MG;-22,7515;-46,1494;6050,03
311060;CAMBUÍ;MG;-22,6115;-46,0572;6776,44
311070;CAMBUQUIRA;MG;-21,854;-45,2896;5693,66
